Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
1,4,2007_02,391776850348.26556,0.8546605370175782
1,7,2007_02,39910330460.0874,1.2078819617879402
1,12,2007_02,97484686678.88007,1.1309794627371814
1,4,2007_03,366854362779.33307,0.8562307183278205
1,7,2007_03,36160991221.858536,1.1282973767155873
1,12,2007_03,103338846670.3855,1.7757024335794156
1,4,2007_04,340430946009.58856,0.6771960442319558
1,7,2007_04,36344871206.64794,1.0326180480909573
1,12,2007_04,112085860233.21721,1.4300220861274835
1,4,2007_05,306189489079.4232,0.6859266197689806
1,7,2007_05,37528770195.87859,1.2417753577730533
1,12,2007_05,128071895420.71814,1.1204554688366533
1,4,2007_06,266632290434.62714,0.6753560680189913
1,7,2007_06,40918669732.69726,1.5648506127825879
1,12,2007_06,139717947979.7704,1.3422399594795453
1,4,2007_07,237242023458.3555,0.7045058367179753
1,7,2007_07,50378662720.37283,1.8138260937567776
1,12,2007_07,142414183738.5204,1.8310413044635774
1,4,2007_08,218085506185.5632,0.6775454504627545
1,7,2007_08,63090967769.14928,1.6844139669534257
1,12,2007_08,141153197594.52847,1.56421129587723
1,4,2007_09,207937829298.78186,0.573651951780525
1,7,2007_09,69128750077.5786,1.6609371387933491
1,12,2007_09,137416485544.00107,1.7886990533615754
1,4,2007_10,204093063132.32397,0.6656000153621242
1,7,2007_10,63314632036.50925,1.1381100985213612
1,12,2007_10,131671147480.57205,1.8806793868829441
1,4,2007_11,202685058101.98343,0.761101823340311
1,7,2007_11,53491657507.91989,1.0758316532137413
1,12,2007_11,122544711786.29865,1.3870922952408722
1,4,2007_12,200701628894.0553,0.8514505133215212
1,7,2007_12,42001272968.798485,1.1480307515117576
1,12,2007_12,105221362066.9444,1.3492503193932195
0.1,5,2004_01,0.0,0.0
0.1,16,2004_01,6281668066518.172,1.480209839335282
0.1,17,2004_01,0.0,0.0
0.1,5,2004_02,0.0,0.0
0.1,16,2004_02,9250224196106.742,1.2847600210896084
0.1,17,2004_02,0.0,0.0
0.1,5,2004_03,0.0,0.0
0.1,16,2004_03,5614132884835.912,1.2122012216681475
0.1,17,2004_03,0.0,0.0
0.1,5,2004_04,0.0,0.0
0.1,16,2004_04,3988247121101.6055,1.1042069947485476
0.1,17,2004_04,0.0,0.0
0.1,5,2004_05,0.0,0.0
0.1,16,2004_05,2715504769750.5044,1.9296724317284766
0.1,17,2004_05,0.0,0.0
0.1,5,2004_06,11810183.655732926,1.131458147863654
0.1,16,2004_06,1678660287281.1128,2.3703859247356167
0.1,17,2004_06,11195842.782925379,0.586768562637973
0.1,5,2004_07,11599617098751.979,1.027067137970965
0.1,16,2004_07,961511027475.1373,2.0068319330485282
0.1,17,2004_07,15947623493061.23,0.6776822129939668
0.1,5,2004_08,11431087819004.498,1.0940257531929214
0.1,16,2004_08,649738580887.2263,1.7320807619205292
0.1,17,2004_08,19056738716612.11,0.798777595876094
0.1,5,2004_09,6681118474298.339,1.850930802758456
0.1,16,2004_09,518493469725.71094,1.5649823310593103
0.1,17,2004_09,9265858125504.244,0.741734671157551
0.1,5,2004_10,2728650356770.968,1.9830489764350823
0.1,16,2004_10,431200311551.99866,1.5586894213693956
0.1,17,2004_10,5982210854770.027,1.052408655320913
0.1,5,2004_11,1179258839733.5542,2.2611100192889824
0.1,16,2004_11,370697672757.4314,1.6893556463412946
0.1,17,2004_11,3541052898934.5117,1.2904226668272374
0.1,5,2004_12,753943249261.9812,2.964863083789285
0.1,16,2004_12,269692502452.1195,1.238806498402964
0.1,17,2004_12,1902688467327.035,1.86135244862376
0.1,5,2005_01,583596452471.2848,2.7453109846517276
0.1,16,2005_01,210332848671.42126,1.5182937968535113
